tag_list,count,percentage_of_games
Moddable,959,0.78
Design & Illustration,939,0.77
Philosophical,929,0.76
Dark Comedy,897,0.73
Soundtrack,890,0.73
Space Sim,887,0.72
Grand Strategy,880,0.72
Automation,873,0.71
3D Fighter,862,0.7
Farming Sim,846,0.69
Capitalism,846,0.69
Word Game,843,0.69
Noir,828,0.68
Mystery Dungeon,824,0.67
NSFW,815,0.66
Lovecraftian,815,0.66
Science,813,0.66
Swordplay,781,0.64
Solitaire,772,0.63
Colony Sim,759,0.62
Split Screen,751,0.61
World War II,746,0.61
Cozy,737,0.6
3D Vision,736,0.6
Vehicular Combat,720,0.59
Dragons,700,0.57
6DOF,694,0.57
Software,694,0.57
Parody,691,0.56
e-sports,687,0.56
Sokoban,687,0.56
America,684,0.56
Auto Battler,683,0.56
Bullet Time,683,0.56
Spectacle fighter,678,0.55
Class-Based,673,0.55
Beautiful,668,0.54
Cooking,660,0.54
Agriculture,657,0.54
Hero Shooter,646,0.53
Combat Racing,635,0.52
Gun Customization,632,0.52
Voxel,630,0.51
Time Manipulation,620,0.51
Mechs,609,0.5
God Game,606,0.49
Conspiracy,606,0.49
Mouse only,599,0.49
Martial Arts,597,0.49
Character Action Game,588,0.48
Quick-Time Events,574,0.47
Underground,574,0.47
Trading,572,0.47
Gothic,564,0.46
Open World Survival Craft,562,0.46
Wholesome,557,0.45
Battle Royale,557,0.45
Hex Grid,549,0.45
FMV,546,0.45
Satire,545,0.44
Dog,544,0.44
Looter Shooter,529,0.43
Co-op Campaign,528,0.43
Political,526,0.43
Blood,523,0.43
Ninja,521,0.42
Animation & Modeling,520,0.42
Pirates,518,0.42
Steampunk,516,0.42
Mining,497,0.41
Game Development,495,0.4
Underwater,491,0.4
Tanks,486,0.4
Time Travel,481,0.39
Action RTS,477,0.39
Programming,466,0.38
Dynamic Narration,465,0.38
Escape Room,454,0.37
MMORPG,454,0.37
Hunting,443,0.36
Fishing,443,0.36
Otome,442,0.36
4X,440,0.36
Remake,438,0.36
Vampire,437,0.36
Narrative,437,0.36
Roguelike Deckbuilder,434,0.35
Real-Time,428,0.35
Faith,425,0.35
Party Game,425,0.35
Hacking,420,0.34
Addictive,410,0.33
Transportation,409,0.33
Political Sim,405,0.33
Dinosaurs,405,0.33
Typing,404,0.33
Immersive,403,0.33
Politics,387,0.32
Minigames,381,0.31
Boomer Shooter,378,0.31
Western,377,0.31
Trading Card Game,374,0.31
Assassin,363,0.3
Naval,360,0.29
Party,353,0.29
Time Attack,350,0.29
Superhero,345,0.28
Asynchronous Multiplayer,345,0.28
Snow,338,0.28
Video Production,336,0.27
Trivia,330,0.27
Trains,321,0.26
Real-Time with Pause,316,0.26
Diplomacy,313,0.26
On-Rails Shooter,310,0.25
Cult Classic,307,0.25
Cold War,296,0.24
Archery,294,0.24
MOBA,291,0.24
Gambling,290,0.24
Football (Soccer),290,0.24
Illuminati,287,0.23
Sailing,271,0.22
Heist,269,0.22
Touch-Friendly,266,0.22
Naval Combat,257,0.21
Audio Production,246,0.2
Offroad,243,0.2
Nostalgia,241,0.2
Music-Based Procedural Generation,237,0.19
Foreign,236,0.19
Villain Protagonist,232,0.19
Traditional Roguelike,231,0.19
Spelling,224,0.18
Mars,221,0.18
Horses,220,0.18
Sniper,219,0.18
Software Training,218,0.18
Sequel,215,0.18
Experience,212,0.17
Chess,210,0.17
Boxing,205,0.17
Farming,205,0.17
Golf,198,0.16
Jet,194,0.16
Unforgiving,193,0.16
Photo Editing,188,0.15
Outbreak Sim,181,0.15
Kickstarter,181,0.15
World War I,177,0.14
Episodic,175,0.14
GameMaker,173,0.14
Werewolves,172,0.14
Motorbike,170,0.14
Transhumanism,170,0.14
Bikes,165,0.13
Rome,165,0.13
Spaceships,161,0.13
Roguevania,161,0.13
Pinball,153,0.12
Submarine,151,0.12
Basketball,145,0.12
Medical Sim,144,0.12
Asymmetric VR,137,0.11
LEGO,131,0.11
Dwarf,131,0.11
Football (American),126,0.1
Job Simulator,124,0.1
Web Publishing,122,0.1
Mini Golf,120,0.1
Silent Protagonist,120,0.1
Social Deduction,119,0.1
Electronic Music,118,0.1
Epic,118,0.1
Movie,112,0.09
Ambient,111,0.09
Jump Scare,111,0.09
360 Video,102,0.08
Crowdfunded,101,0.08
Tennis,100,0.08
Vikings,97,0.08
Intentionally Awkward Controls,95,0.08
Pool,94,0.08
Wrestling,93,0.08
Gaming,91,0.07
Dungeons & Dragons,91,0.07
Baseball,89,0.07
Mahjong,87,0.07
Games Workshop,87,0.07
Cycling,84,0.07
Instrumental Music,80,0.07
Boss Rush,80,0.07
Skateboarding,79,0.06
Motocross,79,0.06
Mod,78,0.06
Lemmings,76,0.06
Hockey,75,0.06
Based On A Novel,74,0.06
Skating,72,0.06
Bowling,64,0.05
Warhammer 40K,55,0.04
Well-Written,54,0.04
BMX,53,0.04
Skiing,52,0.04
8-bit Music,52,0.04
Shop Keeper,46,0.04
Rock Music,46,0.04
Snowboarding,44,0.04
Electronic,43,0.04
Voice Control,42,0.03
Dice,40,0.03
ATV,39,0.03
Extraction Shooter,38,0.03
Musou,36,0.03
Birds,36,0.03
TrackIR,35,0.03
Coding,33,0.03
Documentary,32,0.03
Fox,30,0.02
Cricket,29,0.02
Masterpiece,28,0.02
Benchmark,27,0.02
Hardware,24,0.02
Volleyball,22,0.02
Rugby,21,0.02
Lara Croft,19,0.02
Snooker,17,0.01
Elf,17,0.01
Feature Film,15,0.01
Hobby Sim,15,0.01
Reboot,13,0.01
Steam Machine,13,0.01
VR Only,10,0.01
Football,1,0.0
Batman,1,0.0
Tile-Matching,1,0.0
